epoch,accuracy,binary_io_u,dice_coefficient,learning_rate,loss,val_accuracy,val_binary_io_u,val_dice_coefficient,val_loss
0,0.9163826704025269,0.791107177734375,0.7320131659507751,0.0010000000474974513,0.2685951888561249,0.33476880192756653,0.19818928837776184,0.3928454518318176,4.711031913757324
1,0.968506932258606,0.9105734825134277,0.8917873501777649,0.0010000000474974513,0.10421448945999146,0.782906174659729,0.3914688527584076,0.02354094758629799,0.982353687286377
2,0.9767858982086182,0.9330379962921143,0.9268403053283691,0.0010000000474974513,0.0718630850315094,0.7952482104301453,0.4249592125415802,0.10924659669399261,1.137937068939209
3,0.9805930852890015,0.943681001663208,0.9404873847961426,0.0010000000474974513,0.0593552365899086,0.8535729646682739,0.5843139290809631,0.46981826424598694,0.6057487726211548
4,0.9831210970878601,0.9510318040847778,0.949760913848877,0.0010000000474974513,0.05047617107629776,0.9530165791511536,0.8679257035255432,0.8765896558761597,0.15771865844726562
5,0.9854639172554016,0.9580148458480835,0.9563610553741455,0.0010000000474974513,0.043857187032699585,0.960030734539032,0.8841197490692139,0.8943235278129578,0.12928222119808197
6,0.9858202338218689,0.9588091373443604,0.9580996632575989,0.0010000000474974513,0.042628537863492966,0.9626854062080383,0.8928879499435425,0.894424319267273,0.11223803460597992
7,0.9847924709320068,0.9558119773864746,0.9555931687355042,0.0010000000474974513,0.04527522251009941,0.8409519195556641,0.6825476288795471,0.717330813407898,1.2834627628326416
8,0.9875136613845825,0.9631068706512451,0.9628326296806335,0.0010000000474974513,0.037762317806482315,0.990043044090271,0.9713923931121826,0.9741543531417847,0.029780734330415726
9,0.9891510009765625,0.9680824279785156,0.9681472182273865,0.0010000000474974513,0.03241262212395668,0.9914740324020386,0.9754528403282166,0.9769382476806641,0.02536117471754551
10,0.9898309111595154,0.9698616862297058,0.9700606465339661,0.0010000000474974513,0.030639756470918655,0.9912135004997253,0.9744532108306885,0.9778656959533691,0.02481231465935707
11,0.9914321899414062,0.9741396903991699,0.973667562007904,0.0010000000474974513,0.02618521638214588,0.9899663925170898,0.9710714817047119,0.9744524955749512,0.029839862138032913
12,0.9912241101264954,0.974128007888794,0.9745215773582458,0.0010000000474974513,0.02615046314895153,0.9699269533157349,0.912470817565918,0.9241037368774414,0.09254564344882965
13,0.9910889267921448,0.9734359383583069,0.9735922813415527,0.0010000000474974513,0.02668658271431923,0.9910086393356323,0.9738194942474365,0.9760978817939758,0.025510678067803383
14,0.9901710748672485,0.97093665599823,0.9714475274085999,0.0010000000474974513,0.02927706204354763,0.9027835130691528,0.7812215089797974,0.804668128490448,0.23977872729301453
15,0.9917330741882324,0.9753090143203735,0.9755728244781494,0.0010000000474974513,0.02472042292356491,0.9292906522750854,0.8301742672920227,0.8478714227676392,0.17810331284999847
16,0.9930352568626404,0.9792075157165527,0.9796066880226135,0.0005000000237487257,0.020571157336235046,0.9936881065368652,0.9816135168075562,0.9821686744689941,0.017842255532741547
17,0.9932029247283936,0.9803465008735657,0.9812271595001221,0.0005000000237487257,0.019773704931139946,0.9945683479309082,0.9841448068618774,0.9843803644180298,0.015314045362174511
18,0.9935224056243896,0.9807979464530945,0.9811552166938782,0.0005000000237487257,0.019135886803269386,0.9939662218093872,0.9824361205101013,0.9835014343261719,0.016842877492308617
19,0.9940183162689209,0.9820917844772339,0.9824535846710205,0.0005000000237487257,0.017702989280223846,0.9932069778442383,0.980181097984314,0.9816915392875671,0.019406381994485855
20,0.9938306212425232,0.981635332107544,0.9820420742034912,0.0005000000237487257,0.018221912905573845,0.9948174357414246,0.9848800897598267,0.9853760004043579,0.014469929039478302
